[13-Dec-2016 15:06:39 Europe/Berlin] PHP Notice:  Undefined variable: DEVELOPMENT_ENVIRONMET in D:\xampp\htdocs\framework\public\index.php on line 11
[13-Dec-2016 15:07:17 Europe/Berlin] PHP Notice:  Undefined variable: DEVELOPMENT_ENVIRONMET in D:\xampp\htdocs\framework\public\index.php on line 11
[13-Dec-2016 15:07:49 Europe/Berlin] PHP Notice:  Undefined variable: DEVELOPMENT_ENVIRONMET in D:\xampp\htdocs\framework\public\index.php on line 11
[10-Jan-2017 13:12:00 Europe/Berlin] PHP Parse error:  syntax error, unexpected 'public' (T_PUBLIC), expecting '{' in D:\xampp\htdocs\framework\application\controllers\produkController.php on line 3
[12-Jan-2017 03:25:15 Europe/Berlin] PHP Notice:  Undefined offset: 0 in D:\xampp\htdocs\crud\public\index.php on line 51
[12-Jan-2017 03:25:16 Europe/Berlin] PHP Notice:  Undefined offset: 0 in D:\xampp\htdocs\crud\public\index.php on line 51
[12-Jan-2017 03:39:28 Europe/Berlin] PHP Fatal error:  Class 'Controller' not found in D:\xampp\htdocs\crud\application\controllers\produkController.php on line 2
[12-Jan-2017 03:39:31 Europe/Berlin] PHP Fatal error:  Class 'Controller' not found in D:\xampp\htdocs\crud\application\controllers\produkController.php on line 2
[12-Jan-2017 03:39:31 Europe/Berlin] PHP Fatal error:  Class 'Controller' not found in D:\xampp\htdocs\crud\application\controllers\produkController.php on line 2
[12-Jan-2017 03:39:32 Europe/Berlin] PHP Fatal error:  Class 'Controller' not found in D:\xampp\htdocs\crud\application\controllers\produkController.php on line 2
[12-Jan-2017 03:39:38 Europe/Berlin] PHP Fatal error:  Class 'Controller' not found in D:\xampp\htdocs\crud\application\controllers\produkController.php on line 2
[12-Jan-2017 03:39:49 Europe/Berlin] PHP Fatal error:  Class 'Controller' not found in D:\xampp\htdocs\crud\application\controllers\produkController.php on line 2
[12-Jan-2017 03:39:55 Europe/Berlin] PHP Fatal error:  Class 'Controller' not found in D:\xampp\htdocs\crud\application\controllers\produkController.php on line 2
[12-Jan-2017 03:39:56 Europe/Berlin] PHP Fatal error:  Class 'Controller' not found in D:\xampp\htdocs\crud\application\controllers\produkController.php on line 2
[12-Jan-2017 03:40:10 Europe/Berlin] PHP Fatal error:  Class 'Controller' not found in D:\xampp\htdocs\crud\application\controllers\produkController.php on line 2
[12-Jan-2017 03:40:26 Europe/Berlin] PHP Fatal error:  Class 'Controller' not found in D:\xampp\htdocs\crud\application\controllers\produkController.php on line 2
[12-Jan-2017 03:40:27 Europe/Berlin] PHP Fatal error:  Class 'Controller' not found in D:\xampp\htdocs\crud\application\controllers\produkController.php on line 2
[12-Jan-2017 03:40:27 Europe/Berlin] PHP Fatal error:  Class 'Controller' not found in D:\xampp\htdocs\crud\application\controllers\produkController.php on line 2
[12-Jan-2017 03:40:27 Europe/Berlin] PHP Fatal error:  Class 'Controller' not found in D:\xampp\htdocs\crud\application\controllers\produkController.php on line 2
[12-Jan-2017 03:41:09 Europe/Berlin] PHP Fatal error:  Class 'Controller' not found in D:\xampp\htdocs\crud\application\controllers\produkController.php on line 2
[12-Jan-2017 03:41:10 Europe/Berlin] PHP Fatal error:  Class 'Controller' not found in D:\xampp\htdocs\crud\application\controllers\produkController.php on line 2
[12-Jan-2017 03:41:26 Europe/Berlin] PHP Fatal error:  Class 'Controller' not found in D:\xampp\htdocs\crud\application\controllers\produkController.php on line 2
[12-Jan-2017 09:28:08 Europe/Berlin] PHP Fatal error:  Class 'Controller' not found in D:\xampp\htdocs\crud\application\controllers\produkController.php on line 2
[12-Jan-2017 09:28:59 Europe/Berlin] PHP Fatal error:  Class 'Controller' not found in D:\xampp\htdocs\crud\application\controllers\produkController.php on line 2
[12-Jan-2017 09:29:51 Europe/Berlin] PHP Fatal error:  Class 'Controller' not found in D:\xampp\htdocs\crud\application\controllers\produkController.php on line 4
[12-Jan-2017 09:29:52 Europe/Berlin] PHP Fatal error:  Class 'Controller' not found in D:\xampp\htdocs\crud\application\controllers\produkController.php on line 4
[12-Jan-2017 09:29:54 Europe/Berlin] PHP Fatal error:  Class 'Controller' not found in D:\xampp\htdocs\crud\application\controllers\produkController.php on line 4
[12-Jan-2017 09:29:54 Europe/Berlin] PHP Fatal error:  Class 'Controller' not found in D:\xampp\htdocs\crud\application\controllers\produkController.php on line 4
[12-Jan-2017 09:30:10 Europe/Berlin] PHP Parse error:  syntax error, unexpected '.', expecting identifier (T_STRING) or \\ (T_NS_SEPARATOR) in D:\xampp\htdocs\crud\application\controllers\produkController.php on line 2
[12-Jan-2017 09:30:11 Europe/Berlin] PHP Parse error:  syntax error, unexpected '.', expecting identifier (T_STRING) or \\ (T_NS_SEPARATOR) in D:\xampp\htdocs\crud\application\controllers\produkController.php on line 2
[12-Jan-2017 09:30:22 Europe/Berlin] PHP Warning:  The use statement with non-compound name 'ROOT' has no effect in D:\xampp\htdocs\crud\application\controllers\produkController.php on line 2
[12-Jan-2017 09:30:22 Europe/Berlin] PHP Parse error:  syntax error, unexpected '.', expecting ',' or ';' in D:\xampp\htdocs\crud\application\controllers\produkController.php on line 2
[12-Jan-2017 09:30:28 Europe/Berlin] PHP Warning:  The use statement with non-compound name 'ROOT' has no effect in D:\xampp\htdocs\crud\application\controllers\produkController.php on line 2
[12-Jan-2017 09:30:28 Europe/Berlin] PHP Parse error:  syntax error, unexpected '.', expecting ',' or ';' in D:\xampp\htdocs\crud\application\controllers\produkController.php on line 2
[12-Jan-2017 09:30:50 Europe/Berlin] PHP Warning:  The use statement with non-compound name 'ROOT' has no effect in D:\xampp\htdocs\crud\application\controllers\produkController.php on line 2
[12-Jan-2017 09:30:50 Europe/Berlin] PHP Parse error:  syntax error, unexpected '.', expecting ',' or ';' in D:\xampp\htdocs\crud\application\controllers\produkController.php on line 2
[12-Jan-2017 09:30:51 Europe/Berlin] PHP Warning:  The use statement with non-compound name 'ROOT' has no effect in D:\xampp\htdocs\crud\application\controllers\produkController.php on line 2
[12-Jan-2017 09:30:51 Europe/Berlin] PHP Parse error:  syntax error, unexpected '.', expecting ',' or ';' in D:\xampp\htdocs\crud\application\controllers\produkController.php on line 2
[12-Jan-2017 09:31:02 Europe/Berlin] PHP Warning:  The use statement with non-compound name 'ROOT' has no effect in D:\xampp\htdocs\crud\application\controllers\produkController.php on line 2
[12-Jan-2017 09:31:02 Europe/Berlin] PHP Parse error:  syntax error, unexpected '.', expecting ',' or ';' in D:\xampp\htdocs\crud\application\controllers\produkController.php on line 2
[12-Jan-2017 09:31:10 Europe/Berlin] PHP Warning:  The use statement with non-compound name 'ROOT' has no effect in D:\xampp\htdocs\crud\application\controllers\produkController.php on line 2
[12-Jan-2017 09:31:10 Europe/Berlin] PHP Parse error:  syntax error, unexpected '.', expecting ',' or ';' in D:\xampp\htdocs\crud\application\controllers\produkController.php on line 2
[12-Jan-2017 09:31:11 Europe/Berlin] PHP Warning:  The use statement with non-compound name 'ROOT' has no effect in D:\xampp\htdocs\crud\application\controllers\produkController.php on line 2
